state,date,positive,negative,pending,hospitalized,death,totalTestResults,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,total
AK,20200325,42.0,1649.0,,1.0,1.0,1691,1.0,1.0,663.0,6.0,669.0,1691
AL,20200325,283.0,2529.0,,,0.0,2812,0.0,0.0,423.0,68.0,491.0,2812
AR,20200325,280.0,1437.0,0.0,22.0,2.0,1717,2.0,0.0,490.0,62.0,552.0,1717
AS,20200325,0.0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AZ,20200325,450.0,323.0,53.0,8.0,6.0,773,1.0,0.0,10.0,93.0,103.0,826
CA,20200325,2102.0,13452.0,12100.0,,40.0,15554,0.0,0.0,0.0,0.0,0.0,27654
CO,20200325,912.0,6789.0,,84.0,11.0,7701,4.0,12.0,1285.0,192.0,1477.0,7701
CT,20200325,875.0,5023.0,,113.0,19.0,5898,7.0,42.0,341.0,257.0,598.0,5898
DC,20200325,183.0,1423.0,3.0,,2.0,1606,0.0,0.0,228.0,46.0,274.0,1609
DE,20200325,115.0,36.0,,11.0,0.0,151,0.0,11.0,0.0,24.0,24.0,151
FL,20200325,1682.0,15374.0,1233.0,316.0,22.0,17056,4.0,57.0,2247.0,270.0,2517.0,18289
GA,20200325,1247.0,4932.0,,394.0,40.0,6179,8.0,394.0,474.0,221.0,695.0,6179
GU,20200325,37.0,233.0,,10.0,1.0,270,0.0,5.0,32.0,5.0,37.0,270
HI,20200325,90.0,4357.0,,6.0,1.0,4447,0.0,2.0,768.0,13.0,781.0,4447
IA,20200325,145.0,2578.0,,36.0,1.0,2723,1.0,9.0,263.0,21.0,284.0,2723
ID,20200325,73.0,1887.0,,,0.0,1960,0.0,0.0,0.0,23.0,23.0,1960
IL,20200325,1865.0,12344.0,,,19.0,14209,3.0,0.0,2410.0,314.0,2724.0,14209
IN,20200325,477.0,2879.0,,1.0,14.0,3356,2.0,0.0,313.0,112.0,425.0,3356
KS,20200325,126.0,2360.0,,,3.0,2486,1.0,0.0,274.0,28.0,302.0,2486
KY,20200325,157.0,2865.0,,,4.0,3022,0.0,0.0,1123.0,33.0,1156.0,3022
LA,20200325,1795.0,9656.0,,491.0,65.0,11451,19.0,220.0,2441.0,407.0,2848.0,11451
MA,20200325,1838.0,17956.0,,103.0,15.0,19794,4.0,9.0,5366.0,679.0,6045.0,19794
MD,20200325,423.0,94.0,,,4.0,517,1.0,0.0,0.0,74.0,74.0,517
ME,20200325,149.0,3177.0,,,,3326,0.0,0.0,163.0,24.0,187.0,3326
MI,20200325,2294.0,2069.0,,,43.0,4363,19.0,0.0,0.0,503.0,503.0,4363
MN,20200325,287.0,11188.0,,35.0,1.0,11475,0.0,14.0,5638.0,25.0,5663.0,11475
MO,20200325,356.0,369.0,,,8.0,725,5.0,0.0,0.0,173.0,173.0,725
MP,20200325,0.0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
MS,20200325,377.0,1566.0,,117.0,2.0,1943,1.0,31.0,14.0,57.0,71.0,1943
MT,20200325,53.0,1948.0,,,,2001,0.0,0.0,305.0,7.0,312.0,2001
NC,20200325,504.0,9985.0,,29.0,1.0,10489,1.0,29.0,1844.0,106.0,1950.0,10489
ND,20200325,39.0,1734.0,,8.0,0.0,1773,0.0,3.0,280.0,5.0,285.0,1773
NE,20200325,61.0,1304.0,,,0.0,1365,0.0,0.0,329.0,9.0,338.0,1365
NH,20200325,108.0,2356.0,804.0,13.0,1.0,2464,0.0,2.0,909.0,7.0,916.0,3268
NJ,20200325,4402.0,10452.0,,,62.0,14854,18.0,0.0,2127.0,727.0,2854.0,14854
NM,20200325,100.0,6742.0,,,1.0,6842,1.0,0.0,852.0,17.0,869.0,6842
NV,20200325,321.0,4251.0,0.0,,6.0,4572,2.0,0.0,297.0,43.0,340.0,4572
NY,20200325,30811.0,72668.0,,3805.0,285.0,103479,75.0,571.0,7063.0,5146.0,12209.0,103479
OH,20200325,704.0,14060.0,,182.0,10.0,14764,2.0,37.0,13920.0,140.0,14060.0,14764
OK,20200325,164.0,805.0,,59.0,5.0,969,2.0,34.0,70.0,58.0,128.0,969
OR,20200325,209.0,4350.0,,61.0,8.0,4559,0.0,0.0,0.0,0.0,0.0,4559
PA,20200325,1127.0,11193.0,,,11.0,12320,4.0,0.0,2550.0,276.0,2826.0,12320
PR,20200325,51.0,317.0,70.0,,2.0,368,0.0,0.0,49.0,12.0,61.0,438
RI,20200325,124.0,1143.0,196.0,16.0,,1267,0.0,16.0,23.0,18.0,41.0,1463
SC,20200325,424.0,2303.0,,102.0,7.0,2727,2.0,102.0,291.0,126.0,417.0,2727
